Article,Subject
" In fact the website of Smart Energy GB, the industry body tasked with coordinating the roll out of smart electricity & gas meters in the UK, has in the past made exciting claims like: While it’s not explicit, the underlying assumption is that people with smart meters will be able to closely monitor their energy consumption through in-home displays. Even official research conducted by Smart Energy GB found that out of all the people they surveyed who’ve had a smart meter for a year, only half think that they’ve made any savings at all. My colleague Jack has already written about using the AIDA framework to think about persuasive design, so let’s try to apply it to the context of Smart Meters: The in-home display is the visible component of a smart meter which will in theory get you to pay attention to your energy consumption. However, there are also a lot of reasons why this might not work: Once a smart meter owner starts paying attention to what’s shown in their display, will they be engaged enough that they’ll want to spend some time to understand what’s happening in more detail? Smart meters displays stick to showing you the pure facts about your energy consumption, usually on a small screen with limited interactivity. But let’s assume that you’ve stayed interested and kept monitoring your energy consumption regularly through your smart meter — would that help build the desire to save? This is where smart meter designers did actually make one good choice — it’s possible to view your consumption in monetary terms, not just in terms of the amount of electricity or gas consumed. However, because of the limited user interface it might be hard to get a smart meter display into the right mode to see your consumption in monetary terms, and even harder to switch into viewing your monthly or even yearly consumption. And whilst an indiction of past or current consumption is useful, people would also like to know how much they’d end up paying in a month or a year if they continue consuming energy at a similar rate — something that many smart meters don’t offer at all. A committed smart meter user, regularly monitoring their consumption, discovering that they’d spent £5 more on this week than the last one, and wanting to take action, wouldn’t know where to start. Unfortunately a smart meter only measures the total consumption of everything in your household, and has no way of telling you where exactly you could save, or what the effect of your efforts has been so far. Ultimately, a smart meter only shows you a general view of the energy you’ve spent after you’ve spent it, not before, so there’s little chance of changing behaviour. However, internet connected home appliances might just hold the key to saving energy, doing more than smart meters. But showing you what you consume in context, when you’re already engaged and have the means to act, will help you save more money than a smart meter display gathering dust in a corner of your hallway.",TECHNOLOGY
"  Since I posted about Amazon’s new Go store in downtown SF, I’ve had a lot of spirited discussions about whether it is using AI or not, how it’s done, and whether we’ve foolishly traded cashiers for Skynet. Before we get started… I have worked with Amazon Deep Learning (DL) Engineers, I know Amazon DL Engineers, Amazon DL Engineers are friends of mine, and I am no Amazon DL Engineer… They are much more clever than I am, and probably have an infinitely cooler way of doing this. This means dozens of cameras in the store, watching everything going on. The most important design criteria is that Amazon gets to control and meticulously document each and everything going into the Go store, including the people. Even the bags they offer in the store are a high contrast orange, which would allow them to highly accurately identify the bag which would boost several signals. They might even be able to get away with using a form of boosted scale invariant template matching (template matching) instead of fully convolutional neural networks (CNN), though they probably still use CNNs. I’d guess that Amazon has a planning system that helps them design the layout of the store so that items in which they can’t control the label are placed orthogonally and where they can control the label, they automatically design one that is highly orthogonal. This would all be packaged into a sophisticated image registration system, for every product that is sold in a Go store. Imagine how accurate a CNN would be if you could take multiple pictures with varying entropy of every single item that the object detector would need to find, and train it exclusively on those images, with an integrated ablation study for augmentation. I’d bet that Amazon has a rig that takes a 3-dimensional image of the item, augments it nine ways from Sunday, and then trains the model from this engineered and augmented dataset. With this highly optimized dataset, you could use a You Only Look Once (YOLO) type model (Yolo) and address the SKU tracking problem handily. Amazon has confirmed that they aren’t using Facial Recognition in the Go store. Amazon has a Go app, that you open before entering the store, and displays a barcode. Amazon is able to exactly control where you are and how you walk into the store. That was a decade ago, to understand what state of the art is in pose estimation take a look at CMU’s work. Or go deep with Facebook’s DensePose If you want to really freak yourself out, check out these real-time experiments based on Google’s PoseNet, Move Mirror and Tracking Demo Accurate pose estimation opens up a world of possibilities. It’s a cakewalk to track a unique user around a store (remember they control store layout and camera position, no blind spots), but even more importantly they can use the actual poses themselves to boost the accuracy of the SKU tracking. If you were to take something off the shelf they could analyze the video feed from 5 seconds before and 5 seconds after, cross reference that with know stock levels, and make an even more accurate decision on what was pulled off the shelf. Combining control of the environment, a sophisticated image registration system, object detection and pose estimation allows them to deliver a truly magical experience. It would undoubtedly have been easier to solve this problem using a combination of smart shelves, RFID, scales, etc… It’s often more interesting to know how people didn’t do something, than how they did. Amazon knows that if they were building the stores, yes they could control all aspects of the design and use these easier solutions. Using Go as a lab they’re creating Amazon Marketplace for third-party physical retailers. The chances of the retailer selling something that Amazon doesn’t have pictures of is low, so image registration could be bootstrapped. Or maybe Amazon I’m wrong and Go stores are just there to sell more Red Bull.",TECHNOLOGY
"  I guess we could potentially connect most devices to the internet, hence the growing interest in the Internet of Things (IoT). Of course, it still requires manually emptying followed by use of a weight reset option, to bring internet and cat waste worlds into calibration again. !” Connecting things to the internet that require your physical presence on a regular basis in order for them to be useful seems a little preposterous to me: Kettles, coffee machines, cat litter trays… the list seems to be growing. I often wonder with those coffee machines how regularly the owner discovers that it needs refilling or a mug placing under it — things that need you to physically attend to it — before you can use your smartphone to remotely tell it to create the drink… that requires you to collect it in-person anyway. Don’t get me wrong, I’ve got a few IoT devices: Notably, a smart plug which I use to turn a lamp on and off to a set schedule, for security reasons. So that got me thinking about a whole class of home devices that have appalling UIs, which could be given a far superior user experience via a smartphone. These are the hardware devices for which the manufacturer didn’t want to invest in the extra button, another LED, the larger LCD, the complex controller to support a better UI, etc… I sometimes suspect they decided not to involve any user experience expertise at all! We’ve all got these devices… the ones with user manuals that painstakingly describe holding down one poorly-labelled button whilst waiting for some bizarre sign from the device that it has changed “mode” so that you can now do something slightly different to it via the same poorly-labelled buttons. Sadly, our homes still seem to be filled with these devices, from boilers to fridges to microwaves, all limited in terms of the user experience they offer because the manufacturer was constrained by budget or ingenuity. In my own home, the most egregious crime against UIs was committed by the manufacturer of a small device which controls my water heater (pictured here). Its innocent and simplistic appearance hides a more complex story: It is situated right next to the water heater (seems logical), roughly 10 inches from the floor (less logical for adult humans), on a wall in a darkened cupboard (with no light) at a distance from the heater that requires you to wedge your head between the heater and the device. Needless to say, without a manual (I tried and failed to find one online) inferring what the controls (4 poorly-labelled buttons and several “modes”) do whilst balancing in this precarious position took some trial and error. This is the kind of machine that I could maybe set going via the existing controls but might want to see more status and notifications about via a better smartphone UI. For devices that live in our homes, which we predominantly use when we are there, do we really need to “internet enable” them to benefit from a better UI? If all of the intelligence, apart from the UI, resides on the device itself, there must be a better way to connect to it, particularly when we have a growing number of such devices in our homes? I’m talking about the devices I am happy to be standing right next to, with my smartphone in-hand, controlling them via an improved UI. Shouldn’t connecting these devices via our home wi-fi be enough to authorise a smartphone connected via the same wi-fi to talk to the device? Is there a better way to see that my smartphone is authorised to use the wi-fi and should, therefore, be able to control the devices in the apartment? It could also be another use case for Bluetooth… though I already find that particular technology flakier and flakier the more devices I connect. SIMPLER UI, BUT COMPLEX TO CONNECT Beyond the question of needing the internet at all, my smart plug involved a complex process to pair it with my phone and to introduce it to the home wi-fi router. BETTER HOME DEVICE EXPERIENCES However we tackle these hurdles, it all seems a great opportunity to piggyback on the IoT momentum and to apply UI and UX advances to the many devices in our homes that were robbed of a good way for us to interact with them. Manufacturers might suddenly feel inclined to add new features for which an on-device UI would be cumbersome, but which a smartphone UI could easily control: A fridge manufacturer might be encouraged to report the internal temperature and defrost status of the device.",TECHNOLOGY
" Once was in my local barber shop that didn’t take cards (forcing me to go to the shop across the road, get cashback and return to the barber) and the other time was to pay the admission to the Tokyo State Guest House, which very surprisingly, was cash-only. On a recent trip to London, it was very noticeable how prevalent “cashless” has become there in just the last few months — multiple cafes with signs in the window declaring that cash is no longer accepted. Even Christmas markets are replete with signs of “card payments welcome” as handheld devices from iZettle, SumUp and Square have been adopted by individual traders to accept cards and contactless. But expect to see an ever-increasing range of pay-enabled devices as we move beyond contactless debit cards and Google/Apple Pay equipped phones and watches. For businesses, there are myriad benefits to cashless — no risk of hold ups, no cash counting after closing, no leakage from the till, no trips to the bank, no fraudulent notes to check, improved hygiene (cash is very dirty) and of course, faster transactions. While these positive stories are the reasons that businesses may argue for going cashless, there is also the so-called “credit card effect”, where people are more willing to spend when they aren’t handing over cash. Cash has served us well for over 2,500 years but talk of its demise at the hands of apps, plastic and contactless payments isn’t universally welcome. A recent BBC article highlighted some of the drawbacks of the move away from cash — such as the tendency for charity donations and payments to some sectors such as cleaners or childminders to be largely cash-based. Some States in the US are attempting to block businesses from going cashless, citing the impact on poorer communities. While I sympathise with the groups who could be marginalised by too rapid a move to cashless, I would urge authorities to find solutions rather than hold back progress and forgo the benefits. But the current haphazard move to cashless at the whim of individual businesses is not in the public interest. Governments, not financial institutions who stand to benefit in any event, should be leading the planning and timetable for the move to cashless — we should not force the vulnerable or elderly but should respect their attachment to cash, to the simple tangibility of notes and coins. We should consider a card-for-cash exchange scheme with vending machines easily letting someone who is unbanked go cashless when they need to.",TECHNOLOGY
"  Motion design is the discipline within graphic design that concerns itself with the question of how to bring animation and visual effects onto digital screens. But arguably the field that has seen the biggest impact of motion design has been that of user experience (UX). But this idea was being challenged constantly with many designers trying to build in motion design in application interfaces. The most primitive ways in which this was done was to have lights within interfaces blink red and green to indicate things like the computer is connected to the Internet or the user is logged in or other such states of the application. One of the big shifts in user interface design came when the WWDC published the specifications for HTML 5 and CSS 3 (two technologies essential to making the World Wide Web what it is today) in 2014. Digital user interfaces clearly went from being offshoots of the print design world to occupy a pure-digital world where motion became an integral part of the framework. But with motion design, we can keep the button small and sleek but just make it fade in ahead of all the other elements on the page so it becomes the first element that catches the user’s attention. From arrows gliding around a screen pointing you to various screen elements, subtler motion design can help guide a user through an application. Previously, applications could also use motion design to make them appear faster than they actually are. After development tools started providing methods to integrate motion design into web applications, interfaces on mobile and desktop applications quickly followed suit and began offering options for motion design within their development platforms. Tools like Adobe’s After Effects are used to help create motion graphics, whereas those like Framer are used to create in-page animations and also page transitions. But the field is far from conquered yet and new tools are being released everyday that try to make the task of creating motion design simpler. Principle is a frequently used alternative to Framer that doesn’t produce the code behind the animation but is simpler to create animation and transitions with and is useful to designers in being able to communicate their ideas to developers so they can programme them into the applications when building them. Once you use motion design within the interface of your applications, it will be very tempting to use it everywhere. Motion design trends follow closely with those in graphic design but also have unique ones that have sprung up from within the field itself. Seamless Transitions — This style of motion design morphs one object into another seamlessly, producing very interesting visual effects that support linear storytelling techniques. Just as SFX adds a distinct flavour and personality and has become an essential device in filmmaking, motion design has become indispensable to application design today. With user experience design becoming more and more widespread and crucial in the world of software, motion design is one of those skills that is going to become very important as well.",TECHNOLOGY
" Since the IoT is becoming not only a technical but also a social phenomenon, changing our perception of devices around us and the environment we live in, the top trends we selected also represent both the machine and the human worlds. Data is the fuel of the IoT and, above all, the key to companies to make good decisions about products, services, employees, strategy, etc. Though clouds will continue to be a hot topic in the next year, the shift from centralized and cloud to edge architectures will only intensify in the IoT space in the near future. Part of the data is stored locally next to the IoT device that makes it readily available when needed so that the traffic on the network is reduced and bandwidth costs are minimized. It is a simulation tool that works with AI, machine learning, and the IoT to improve businesses’ experience by streamlining digital data operations. 5G, the forthcoming generation of low earth orbit satellites and backscatter networks is likely to gain attention at the IoT market optimizing power consumption, bandwidth, latency, connection density, operating cost, quality of service and range. The sensor market will also evolve continuously with new special-purpose sensors covering more situations and events and reducing power consumption required to run deep neural networks which in it turn will enable new edge architectures and use of DNN functions in low-power IoT endpoint devices. Speaking of the GDPR, we have to say that as the IoT expands, the need for a governance framework that ensures appropriate behavior in the data creation, storage, use and deletion is becoming increasingly important. Governance of the IoT-related projects will range from simple device audits and firmware updates to complex issues such as the control of devices and the strategic usage of the data they generate. In future, the IoT user experience (UX) will be driven by four factors: new sensors, new algorithms, new experience architectures and context, and socially aware experiences.",TECHNOLOGY
" A 2018 study investigating the neurological basis of anxiety in the brain has identified ‘anxiety cells’ located in the hippocampus — which not only regulate anxious behaviour but can be controlled by a beam of light. The findings, so far demonstrated in experiments with lab mice, could offer a ray of hope for the millions of people worldwide who experience anxiety disorders (including almost one in five adults in the US), by leading to new drugs that silence these anxiety-controlling neurons. “We wanted to understand where the emotional information that goes into the feeling of anxiety is encoded within the brain,” says one of the researchers, neuroscientist Mazen Kheirbek from the University of California, San Francisco. To find out, the team used a technique called calcium imaging, inserting miniature microscopes into the brains of lab mice to record the activity of cells in the hippocampus as the animals made their way around their enclosures. The team built special mazes where some paths led to open spaces and elevated platforms — exposed environments known to induce anxiety in mice, due to increased vulnerability to predators. Away from the safety of walls, something went off in the mice’s heads — with the researchers observing cells in a part of the hippocampus called ventral CA1 (vCA1) firing up, and the more anxious the mice behaved, the greater the neuron activity became. “We call these anxiety cells because they only fire when the animals are in places that are innately frightening to them,” explains senior researcher Rene Hen from Columbia University. Because this same regulation process operates in people, too — not just lab mice exposed to anxiety-inducing labyrinths — the researchers hypothesise that the anxiety neurons themselves could be a part of human biology, too. “Now that we’ve found these cells in the hippocampus, it opens up new areas for exploring treatment ideas that we didn’t know existed before,” says one of the team, Jessica Jimenez from Columbia University’s Vagelos College of Physicians & Surgeons. Even more exciting is that we’ve already figured out a way of controlling these anxiety cells — in mice at least — to the extent it actually changes the animals’ observable behaviour. Using a technique called optogenetics to shine a beam of light onto the cells in the vCA1 region, the researchers were able to effectively silence the anxiety cells and prompt confident, anxiety-free activity in the mice. By changing the light settings, the researchers were also able to enhance the activity of the anxiety cells, making the animals quiver even when safely ensconced in enclosed, walled surroundings — not that the team necessarily thinks vCA1 is the only brain region involved here. “These cells are probably just one part of an extended circuit by which the animal learns about anxiety-related information,” Kheirbek told NPR, highlighting other neural cells justify additional study too. In any case, the next steps will be to find out whether the same control switch is what regulates human anxiety — and based on what we know about the brain similarities with mice, it seems plausible.",SCIENCE
"  Albert Einstein’s 1905 paper “On the Electrodynamics of Moving Bodies” introduced — — “Time cannot be absolutely defined and there is an inseparable relation between time and signal velocity”.Under this new theory, the only means to define time is in reference to a definite system of linked, coordinated, and synchronized clocks. We need to synchronize our commitments and activities with measures both reliable from error and secure from strategic tampering — — with the spread of technologies to both independently measure the time and to broadcast a standard version of the time. The town’s so full of these confounded(confused) dials!”Time synchronizing also let the idler’s peers know just how much of their day they sacrificed while he naped. It wasn’t until about 750 that bells were rung at specific times of the day. All rely on the skill of the bell ringers ability to vary their own bell speed at the same time recognising the position of all the bells around them and recalling from memory a pattern of bells. GPS and Time: Global Positioning System(GPS) consists of 24 satellites and a ground station. It is known that the GPS system can calculate the precise position on the earth surface and it is finding ways into any industries to everyone. Most people feel the passage of time through sun rising and set every day in life. If GPS system were an advanced telescope the US military sent into outer space, the ‘atomic clock’ equipped on each satellite would be a powerful mechanism that enables people to acquire the accurate oscillation frequency of earth’s rotation period. Thus, GPS receiver can analyze very precious time data from GPS signals and these time data now has been distributed into various areas in the world. Synchronizing time through GPS system is difficult to understand as it involves in mathematics, physics and astronomy. In this system, only after obtaining precise time, people could measure the valid distant from a satellite. It is showed below (Bajaj, 2002, page92–94): (1) “triangulating” position from satellite: GPS system can track user’s present position by calculating distant from 3 satellites. (2) to finish step (1), GPS needs to measures radius(distance) using travel time of signals data. (3) to finish step (2), GPS needs to acquire precise time which sometimes are tiny numbers. (4) every GPS receiver needs to make correlation because any signals will delay during travelling through the atmosphere, such as “Error Modeling” offset correlation. After time recognized by a master clock or GPS module, it will be transmitted into time server and synchronized by any necessary fields in daily life. satellite signals: GPS system actually sends a sequence of data to thousands of receivers on earth through radio signals. According to Mauro proved that the most fundamental part of GPS radio signals is the ‘Pseudo Random Code’, which is composed of a sequence of code “0” and “1”.When I learned about this form of signals, it reminded me of historical “radiotelegraph secret”, which was packaged in the same method. For example, although each satellite has ubiquitous Pseudo-Random Code, which complexity guarantees GPS receiver cannot accidentally absorb in another GPS signals, all the satellites still use same frequency regular frequency without interfering with each other.",SCIENCE
"  Whether you are giving gifts to others or to yourself this holiday season, this list of the best popular science books of 2018 about astronomy, physics and mathematics is a great place to start reading and gifting by GrrlScientist for Forbes | @GrrlScientist Whilst I’ve researched and mini-reviewed this year’s list of popular science books, I’ve once again been impressed with the overall quality and variety of popular science books about physics published in 2018, in particular. Although I’m not a physicist, I’ve discovered that popular science books about physics are my favorites this year, and I think they’ll be your favorites, too. Losing the Nobel Prize: A Story of Cosmology, Ambition, and the Perils of Science’s Highest Honor by Brian Keating (W. W. Norton & Company, 2018: Amazon US / Amazon UK) Cosmologist Brian Keating has written an interesting account about his part in the race for a Nobel Prize in physics. In this book, Professor Keating describes his involvement in the BICEP2 experiment and his personal ambitions of winning a Nobel Prize whilst also detailing his views of what is wrong with the Nobel Prize — particularly its limitation to just three living scientists (this is an unjust situation where nearly all researchers in a large team who contributed to a particular discovery are completely overlooked. Professor Keating delivers a clearly written synopsis of observational cosmology combined with an honest and informative assessment of the harsh realities of how the competitive world of astronomy and physics — and science in general — really work. This entertaining, moving and often witty book is one of my absolute favorites in this year’s impressive crop of popular science books. Lost in Math by Sabine Hossenfelder (Basic Books, 2018: Amazon US / Amazon UK) Why has there not been a major breakthrough in fundamental physics for more than 40 years? Another of my favorites from this year’s group of popular science books, this thought-provoking and readable book is honest and often quite funny, and will be enjoyed by any scientifically curious person, as well as by physicists and by those who enjoy reading about the philosophy of science. Through Two Doors at Once: The Elegant Experiment That Captures the Enigma of Our Quantum Reality by Anil Ananthaswamy (Dutton, 2018: Amazon US / Amazon UK) Thomas Young’s 200 year old “double slit” experiment still fascinates and mystifies scientists as well as nonspecialists because it shows how weird and counterintuitive reality can be at the smallest of scales. This clearly-written book also explores the many questions that the famous double slit experiment raises: What is the real “measurement problem”? A fascinating and readable exploration of quantum mechanics that is a particularly wonderful book for nonspecialists, hobbyists and students of science — you may not be able to put this captivating book down until you’ve finished it! Chasing New Horizons: Inside the Epic First Mission to Pluto by Alan Stern and David Grinspoon (Picador, 2018: Amazon US / Amazon UK) If you like reading stories about underdogs who overcome all odds to achieve a particular goal, then this riveting true story is for you. The scientists and engineers were busy solving last-minute logistical problems — for example, they discovered Pluto has two moons only after New Horizons was well on its way, which raised all sorts of challenges for the team as they worked to prevent their probe from crashing whilst also gathering data on each moon. Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man’s First Journey to the Moon by Robert Kurson (Random House, 2018: Amazon US / Amazon UK) This non-fiction page-turner reads like a novel, complete with plot twists and on-the-edge-of-your-seat anxiety, with historical context skilfully interwoven into the personal stories of three men who orbited the Moon, astronauts Frank Borman, Jim Lovell, and Bill Anders, and their wives and children. The Space Barons: Elon Musk, Jeff Bezos, and the Quest to Colonize the Cosmos by Christian Davenport (PublicAffairs, 2018: Amazon US / Amazon UK) Since the Moon missions ended ages ago, what does the future hold for space exploration? This provocative book is based upon years of meticulous research and exclusive interviews with all four of these billionaires, whom the author had direct access to during the writing of this book. Light of the Stars: Alien Worlds and the Fate of the Earth by Adam Frank (W. W. Norton & Company, 2018: Amazon US / Amazon UK) Is there life on other planets? This impassioned book investigates the (relatively) new science of astrobiology, a discipline that explores new realities and new possibilities, and reveals universal truths about life and the planets it arises on. The author, astrophysicist Adam Frank, relies on elegant prose and conversational writing to make modern science comprehensible and illuminating for the nonspecialist as he explores important questions, such as how intelligent life could evolve and why we have never detected any sign or signal confirming that we are not alone in the universe. Throughout this profoundly important book, the author makes compelling arguments that not only is it likely that alien civilisations have existed many times before and concludes that many have driven their own worlds into their own Anthropocene, which leads to the most important question of all: what can those alien civilizations tell us about our own fate? The Atom: A Visual Tour by Jack Challoner (The MIT Press, 2018: Amazon US / Amazon UK) The Atom is an engaging and visually appealing overview of physics and chemistry, as well as the history of our thinking about atoms and their structure: how atomic interactions create the properties of everyday materials; and what subatomic particles and their quantum world show us about the nature of reality in the larger world that we occupy. Brief Answers to the Big Questions by Stephen Hawking (Bantam Books, 2018: Amazon US / Amazon UK) Unless celebrated cosmologist Stephen Hawking somehow manages to come back from the dead, this is his final book — his final communication to humanity. Many of these are a rehash from his previous books, so a devoted fan who has read his entire oeuvre may be disappointed because there is little here that is truly new, although I was delighted by Professor Hawking’s humorous digs at the Trump crime clan. The Dialogues: Conversations About the Nature of the Universe by Clifford V. Johnson (The MIT Press, 2018: Amazon US / Amazon UK) Have you ever read a graphic novel about any scientific discipline? If not, then you’re in for a treat with this oversized book because it uses the graphic novel form to share a number of discussions about the nature of the universe — a fundamental series of conversations that, I suspect, will never grow old. Written and illustrated with full-color cartoons by the author, physicist Clifford Johnson, this book invites us to eavesdrop on a series of nine conversations about a variety of topics taking place in coffee shops, in trains, and in museums. Especially in view of the white male-dominated culture of physics, I was particularly pleased to see the inclusivity of characters — both men and women can be found in these pages, as well as characters of different ethnicities, ages and levels of expertise. For more faboo science books, please refer to my previous annual mini-reviews of the 10 best books about astronomy, physics, chemistry and mathematics in 2016 and 2017. Many thanks to the publishers and their publicity agents who graciously sent review copies of their beautiful books far off the beaten track to snowy Norway.",SCIENCE
" It might have enough energy density to stop its expansion and recollapse, it might have so little energy density that it would never stop expanding, but gravity was certain to slow the expansion as time went on. The universe is full of matter and the attractive force of gravity pulls all matter together. Maybe it was a result of a long-discarded version of Einstein’s theory of gravity, one that contained what was called a “cosmological constant.” Maybe there was some strange kind of energy-fluid that filled space. We know how much dark energy there is because we know how it affects the universe’s expansion. One explanation for dark energy is that it is a property of space. Then one version of Einstein’s gravity theory, the version that contains a cosmological constant, makes a second prediction: “empty space” can possess its own energy. Another explanation for how space acquires energy comes from the quantum theory of matter. Another explanation for dark energy is that it is a new kind of dynamical energy fluid or field, something that fills all of space but something whose effect on the expansion of the universe is the opposite of that of matter and normal energy. That would not only affect the expansion of the universe, but it would also affect the way that normal matter in galaxies and clusters of galaxies behaved. This fact would provide a way to decide if the solution to the dark energy problem is a new gravity theory or not: we could observe how galaxies come together in clusters. The thing that is needed to decide between dark energy possibilities — a property of space, a new dynamic fluid, or a new theory of gravity — is more data, better data. By fitting a theoretical model of the composition of the universe to the combined set of cosmological observations, scientists have come up with the composition that we described above, ~68% dark energy, ~27% dark matter, ~5% normal matter. Second, it is not in the form of dark clouds of normal matter, matter made up of particles called baryons. High concentrations of matter bend light passing near them from objects further away, but we do not see enough lensing events to suggest that such objects to make up the required 25% dark matter contribution. Baryonic matter could still make up the dark matter if it were all tied up in brown dwarfs or in small, dense chunks of heavy elements. But the most common view is that dark matter is not baryonic at all, but that it is made up of other, more exotic particles like axions or WIMPS (Weakly Interacting Massive Particles). It doesn’t interact with baryonic matter and it’s completely invisible to light and other forms of electromagnetic radiation, making dark matter impossible to detect with current instruments. This puzzling result makes sense if one assumes that the boundary stars are feeling the gravitational effects of an unseen mass — dark matter — in a halo around the galaxy. Dark matter could also explain certain optical illusions that astronomers see in the deep universe. For example, pictures of galaxies that include strange rings and arcs of light could be explained if the light from even more distant galaxies is being distorted and magnified by massive, invisible clouds of dark matter in the foreground-a phenomenon known as gravitational lensing. One leading hypothesis is that dark matter consists of exotic particles that don’t interact with normal matter or light but that still exert a gravitational pull. Several scientific groups, including one at CERN’s Large Hadron Collider, are currently working to generate dark matter particles for study in the lab. Other scientists think the effects of dark matter could be explained by fundamentally modifying our theories of gravity. Scientists now think that the accelerated expansion of the universe is driven by a kind of repulsive force generated by quantum fluctuations in otherwise “empty” space. Unlike for dark matter, scientists have no plausible explanation for dark energy. According to one idea, dark energy is a fifth and previously unknown type of fundamental force called quintessence, which fills the universe like a fluid. Many scientists have also pointed out that the known properties of dark energy are consistent with a cosmological constant, a mathematical Band-Aid that Albert Einstein added to his theory of general relativity to make his equations fit with the notion of a static universe. Einstein later discarded the idea when astronomical observations revealed that the universe was expanding, calling the cosmological constant his “biggest blunder.” Now that we see the expansion of the universe is accelerating, adding in dark energy as a cosmological constant could neatly explain how space-time is being stretched apart.",SCIENCE
"  One of my favorite subjects when I was studying Physics was the concept of entropy, and how it relates to pretty much everything, from ice cubes to the whole Universe. Physically, entropy is a quantity that is proportional to the number of “microscopic configurations” that are consistent with the observed “macroscopic state”. There is a certain number of combinations of the molecules that correspond to the initial system configuration (water plus ice). Consider leaving the glass of water with the ice cube in a room and then checking back on it at a randomly chosen time between now and, say, a year from now. This a a way to think about entropy: The state with water plus ice is the state of lowest entropy because it is such an unlikely configuration in the overall timeline. One of the fundamental insights from Physics is that what happens with the ice cube/water system happens in fact to every physical system - entropy will always increase. Consider two videos, one in which an ice cube slowly melts in a glass of water, and another in which the reverse happens, an ice cube slowly materializing in a glass of water. In such a universe, we could not distinguish between a video of a melting ice cube played forwards and backwards, and there would be no such thing as the Second Law of Thermodynamics. Now here’s the interesting thing: The primordial Universe is the configuration of the Universe with the lowest overall entropy. If you choose a random time to observe the Universe, it is far more likely to find it with some randomly formed clumps, than in a state where everything is distributed homogeneously. On a time scale much longer that the current age of the Universe, all stars will ultimately burn out, all planets will leave their orbits and will be consumed by larger bodies, and galaxies will cease to exists. So next time you are having iced water think about this: the most likely state of Universe, on a time scale of googols of years, is the state of maximum entropy, the heat death. Let me conclude with an analogy between the concept of entropy and life: by default, everything in our lives tends to become a mess, or a state of high entropy, unless we put energy and attention into it. A point could be made that the things that give the most meaning and purpose to life are exactly those things that locally reduce entropy, and therefore go against the natural tendency of the Universe towards disorder.",SCIENCE
